番号,1702,
名前,フェイト=テスタロッサ,
呼び名,フェイト,
CSTR,10,テスタロッサ,;　苗字

;-------年齢指定----------------
CSTR,204,9,
CSTR,205,9,
CSTR,206,9,

;-------初期ステータス----------
;ステータスにおける基礎値
基礎,体力,1400,
基礎,気力,800,
基礎,性耐性,100,
基礎,攻撃,120,
基礎,防御,50,
基礎,敏捷,150,
基礎,知性,120,
基礎,射精,10000,
基礎,噴乳,10000,
能力,レベル,1,
基礎,空中ダッシュ,4,

;-------素質--------------------
素質,処女,1,
素質,お漏らし癖,1,
素質,パイパン,1,
素質,素直,1,
素質,Ｃ敏感,1,
素質,近距離得意,1,
素質,中距離得意,1,
素質,空中得意,1,
素質,魔法使い,1,
素質,清純派,1,
素質,警察関係者,1,
素質,学生,1,;　小学生

;-------衣装--------------------
フラグ,40,100,
フラグ,41,202,
フラグ,42,300,
CSTR,9,バリアジャケットＦ,

;-------髪型--------------------
CSTR,12,センター分け,
CSTR,13,ツインテール,
CSTR,14,ツインテール,

;-------目つき------------------
CSTR,18,普通,

;-------プロフィール-------------
;髪の色
CSTR,30,金,
;変身時の髪の色
CSTR,31,金,
;右目の色
CSTR,32,赤,
;左目の色
CSTR,33,赤,
;変身時の右目の色
CSTR,34,赤,
;変身時の左目の色
CSTR,35,赤,
;肌の色
CSTR,36,肌色,
;変身時の肌の色
CSTR,37,肌色,

;-------武器定義-----------------
CSTR,15,バルディッシュ・アサルト// //通常,
CSTR,16,バルディッシュ・アサルト// //通常,
CSTR,17,バルディッシュ・アサルト// //通常,

;-------キャラフラグ------------
フラグ,10,75,;　変身能力のあるキャラの変身前の能力(デフォルトは25%)
フラグ,11,110,;　変身能力のあるキャラのSP変身後の能力(デフォルトは110%)


;-------変身能力関連------------
素質,変身能力,1,;　変身能力あり

;変身時のかけ声
CSTR,2,バルディッシュ、セットアップ！,
フラグ,4,1,

;変身時の名乗り
CSTR,3,時空管理局執務官候補生フェイト・テスタロッサです！,
フラグ,5,1,

;-------パーソナリティ----------
CSTR,40, 不安な時はもじもじする,
CSTR,41, 人生について悩んでいる,
CSTR,42, 歌が上手い,


;-------固有キャラフラグ--------
素質,固有キャラ,1,
