番号,323,;キャラ番号
名前,龍宮 真名,;本名
呼び名,真名,;呼び名
基礎,0,1000,;体力
基礎,1,1000,;気力
基礎,2,100,;性耐性
基礎,10,120,;攻撃
基礎,11,80,;防御
基礎,12,120,;敏捷
基礎,13,100,;知性
基礎,20,10000,;射精
基礎,21,10000,;噴乳
基礎,22,2,;空中ダッシュ
素質,0,;処女
素質,24,;古風
素質,102,;Ｖ敏感
素質,111,;巨乳
素質,117,;おおがら
素質,182,;遠隔得意
素質,201,;人間
素質,301,;清純派
フラグ,10,25,;変身能力のあるキャラの変身前の能力がどれくらい減るか(デフォルトは25%)
フラグ,11,110,;変身能力のあるキャラのSP変身後の能力がどれくらい増えるか(デフォルトは110%)
フラグ,40,100,;私服
フラグ,42,300,;普通の下着
CSTR,10,龍宮,;苗字
CSTR,12,Ｍ字分け,
CSTR,13,ロングヘア,
CSTR,14,ロングヘア,
CSTR,18,普通,

;髪の色
CSTR,30,黒
CSTR,31,黒
;瞳の色
CSTR,32,88//88//0
CSTR,33,88//88//0
;肌の色
CSTR,34,褐色

素質,固有キャラ,1
